species,decimalLatitude,decimalLongitude,eventDate,BSI,LST,MNDWI,NDBI,NDSI,NDVI,NDWI,SAVI,UI,winter_wheat_presence,Land_cover
Lepus europaeus,52.820664,-1.333684,2023-06-01,-0.6566694142356332,298.471875,-0.4354120802442907,-0.2494892781896871,-0.4354120802442907,0.6488321830746252,-0.5937795543052559,0.9731453813896276,0.2494892781896871,0,Improved grassland
Lepus europaeus,51.384024,-2.073236,2023-05-27,-0.732853330954422,295.01750000000004,-0.4632482628387958,-0.3396042346781192,-0.4632482628387958,0.7467562583820128,-0.6828705086920327,1.1200253573684906,0.3396042346781192,0,Coniferous woodland
Lepus europaeus,55.23799,-3.652795,2024-03-24,-0.5810423833842305,282.88574803149606,-0.5173581481923938,-0.0976050577246318,-0.5173581481923938,0.5316537837505935,-0.5838036810515095,0.7973715636626009,0.0976050577246318,0,Coniferous woodland
Lepus europaeus,52.189394,-2.952243,2023-05-01,0.1027798943252559,288.6357568627451,0.1819075926768372,-0.1657531781498297,0.1819075926768372,0.0176063826479263,0.0167009028389007,0.0264088878984576,0.1657531781498297,0,Arable
Lepus europaeus,52.82251,-1.927244,2023-02-24,-0.1491064574535731,278.86108858267716,-0.0372003904660009,-0.1469867385902467,-0.0372003904660009,0.2154877851397354,-0.1725199081118603,0.3231959125970281,0.1469867385902467,0,Arable
Lepus europaeus,53.898261,-1.164481,2024-08-28,-0.4248731584457849,291.2271850393701,-0.3831791431421318,-0.0487145871006561,-0.3831791431421318,0.3640792333116302,-0.4100398292864728,0.5459709836169725,0.0487145871006561,0,Arable
Lepus europaeus,52.174211,0.119027,2022-02-22,-0.5167474191821965,282.04875000000004,-0.4509459354349701,-0.0520395426988753,-0.4509459354349701,0.4800585895910771,-0.4832118601032663,0.7199413371871407,0.0520395426988753,0,Suburban
Lepus europaeus,50.934249,-2.214832,2022-05-05,-0.6821822658434082,292.00250425515,-0.5085900850633442,-0.2188118041575913,-0.5085900850633442,0.645441309192552,-0.6326575553400702,0.9680490086838348,0.2188118041575913,0,Arable
Lepus europaeus,55.601166,-3.350588,2024-12-27,0.3606257768550819,268.7820225837155,0.7705582167395622,-0.7956243286568487,0.7705582167395622,0.0366187757086433,0.0661586451403308,0.0549129141929925,0.7956243286568487,0,Improved grassland
Lepus europaeus,51.991824,0.256064,2023-05-10,-0.1380774026074977,290.15227272727276,0.099006967846624,-0.3048489458233152,0.099006967846624,0.2831315949015408,-0.2248540123613566,0.4246012778377033,0.3048489458233152,0,Arable
Lepus europaeus,51.383846,-2.216933,2022-05-20,-0.5764692621226982,295.21800337457825,-0.4009930029559177,-0.2227663714121642,-0.4009930029559177,0.5943277733620388,-0.5603641560474434,0.8914051077901887,0.2227663714121642,0,Improved grassland
Lepus europaeus,53.178143,-1.02891,2022-01-14,-0.7432250756321321,278.4236550431196,-0.6249583338432348,-0.1335018951847595,-0.6249583338432348,0.6885633386419404,-0.6866554474013651,1.0327172485174418,0.1335018951847595,0,Improved grassland
Lepus europaeus,51.473415,-1.641446,2022-06-26,-0.7616106890806545,295.9482152230971,-0.4233524312436959,-0.4931023862935268,-0.4233524312436959,0.8085367456566855,-0.7543925782283764,1.2126580561759106,0.4931023862935268,0,Arable
Lepus europaeus,56.497457,-3.544731,2022-11-25,-0.2732217978638113,274.46685770750986,-0.2763337873159777,-0.0383381182961913,-0.2763337873159777,0.2717456236926169,-0.312464632528763,0.4075752117494883,0.0383381182961913,0,Arable
Lepus europaeus,56.587263,-3.548394,2022-06-09,-0.830625291939967,289.8398329754236,-0.5311645218727946,-0.3767080594582112,-0.5311645218727946,0.8467112115564236,-0.7533797696258511,1.2698955795369349,0.3767080594582112,0,Improved grassland
Lepus europaeus,52.176746,-0.027113,2022-07-03,-0.5750560656149943,302.81455849268843,-0.4745519365236232,-0.1740629873457623,-0.4745519365236232,0.5063354769489762,-0.5975971440727272,0.7594101549593283,0.1740629873457623,0,Improved grassland
Lepus europaeus,52.273136,-0.462551,2025-03-27,-0.530192433190589,287.3483333333334,-0.391121174254093,-0.1589556773387175,-0.391121174254093,0.5319461355636851,-0.5138062795492896,0.7977793973561602,0.1589556773387175,0,Arable
Lepus europaeus,56.682207,-3.062574,2022-07-10,-0.798195811780029,294.0508571741032,-0.5204541744322396,-0.3468217464271924,-0.5204541744322396,0.7933129738820911,-0.7276864340166552,1.1898429367103007,0.3468217464271924,0,Improved grassland
Lepus europaeus,52.910552,-1.332306,2022-06-07,-0.7369971681144378,296.1644282902137,-0.4230749127722576,-0.4268212229593234,-0.4230749127722576,0.7900044022317428,-0.7174172648796504,1.1848809392087265,0.4268212229593234,0,Arable
Lepus europaeus,53.721385,-1.925707,2024-12-19,-0.654421583920532,274.5821227034121,-0.4496041471642191,-0.2787809643198198,-0.4496041471642191,0.7455828213736988,-0.6403941400500919,1.1181689794984837,0.2787809643198198,0,Improved grassland
Lepus europaeus,52.190484,-2.805979,2022-05-12,-0.7888398882187249,293.2409265091864,-0.476021775140475,-0.436017460995907,-0.476021775140475,0.8393870589485292,-0.7521735102629274,1.2589461555112833,0.436017460995907,0,Improved grassland
Lepus europaeus,51.563854,-2.073526,2022-05-18,-0.6527102392096273,291.7790078740158,-0.3844902220795865,-0.3467124341435618,-0.3844902220795865,0.6922123491350163,-0.6313010438153971,1.0382103703513883,0.3467124341435618,0,Arable
Lepus europaeus,56.589183,-3.385631,2022-03-14,-0.578239791892355,284.154656167979,-0.5249754265980467,-0.0402142681454081,-0.5249754265980467,0.4770614455835604,-0.553005256493588,0.7154311887068516,0.0402142681454081,0,Improved grassland
Lepus europaeus,51.833413,-1.78372,2022-04-30,-0.7775216356343067,292.8375832828589,-0.4910540269701701,-0.3647309621559173,-0.4910540269701701,0.8144511847832362,-0.7233261568797602,1.2215405233798189,0.3647309621559173,0,Improved grassland
Lepus europaeus,52.820664,-1.333684,2024-09-14,-0.5597162443014173,292.78375,-0.407550823413696,-0.1792031807891687,-0.407550823413696,0.5889711666574191,-0.5333161284036168,0.8833477046450947,0.1792031807891687,0,Improved grassland
Lepus europaeus,52.370295,-1.1936,2022-01-16,-0.5168154700614727,277.67570866141733,-0.3812268719624884,-0.1986172464083765,-0.3812268719624884,0.5416841056564348,-0.5350168658410639,0.812306320880263,0.1986172464083765,0,Improved grassland
