species,decimalLatitude,decimalLongitude,eventDate,BSI,LST,MNDWI,NDBI,NDSI,NDVI,NDWI,SAVI,UI
Lepus europaeus,52.746722,-1.038527,2022-10-09,-0.6157623659251126,286.4460745098039,-0.5228940483079183,-0.0581553645344578,-0.5228940483079183,0.537134961380533,-0.5530722197935906,0.8055689771766794,0.0581553645344578
Lepus europaeus,52.819095,-1.096287,2022-07-20,-0.6728958298553643,303.5457775590551,-0.5642997940218728,-0.11627662891650116,-0.5642997940218728,0.6197924153923332,-0.6332882099528522,0.9295800158397842,0.11627662891650116
Lepus europaeus,52.583645,-0.894504,2022-05-10,-0.45485558217897837,292.68171654432524,-0.15564879023784373,-0.40429712194020606,-0.15564879023784373,0.5936107274676352,-0.5251790155513706,0.8903449986485106,0.40429712194020606
Lepus europaeus,52.723961,-0.565204,2023-05-01,-0.4440431136805822,288.93146981627297,-0.1907414327450565,-0.3132520048400807,-0.1907414327450565,0.5127828531266969,-0.4736913792234325,0.7691001961418673,0.3132520048400807
Lepus europaeus,52.709478,-0.891327,2023-05-07,-0.31815289618053627,289.50175014005606,-0.15105780081170478,-0.24755612509477762,-0.15105780081170478,0.41587278578024567,-0.3755512982831841,0.6237667702415924,0.24755612509477762
Lepus europaeus,52.78218,-0.97844,2022-03-26,-0.7407766233866913,287.8125656167979,-0.46945212846713097,-0.30971467933977065,-0.46945212846713097,0.7367796124334395,-0.6748087438803951,1.105012898827685,0.30971467933977065
Lepus europaeus,52.708002,-0.743349,2023-06-06,-0.7717427979608638,295.8404549019608,-0.4317931505569049,-0.42322749233814705,-0.4317931505569049,0.8020903123634451,-0.7216595321835934,1.2030091117060906,0.42322749233814705
Lepus europaeus,52.801118,-1.096659,2022-05-15,-0.647467400320737,292.2656167979003,-0.3600154978525739,-0.3989234724137124,-0.3600154978525739,0.7280436186457543,-0.6602159082403811,1.091948463745271,0.3989234724137124
Lepus europaeus,52.709478,-0.891327,2023-05-07,-0.31815289618053627,289.50175014005606,-0.15105780081170478,-0.24755612509477762,-0.15105780081170478,0.41587278578024567,-0.3755512982831841,0.6237667702415924,0.24755612509477762
Lepus europaeus,52.599512,-0.687395,2022-01-01,-0.6588868182858532,277.7111259842519,-0.503097772389059,-0.17852396521930383,-0.503097772389059,0.6457457389930501,-0.6217817723504361,0.9684339562720785,0.17852396521930383
Lepus europaeus,52.583645,-0.894504,2022-05-10,-0.45485558217897837,292.68171654432524,-0.15564879023784373,-0.40429712194020606,-0.15564879023784373,0.5936107274676352,-0.5251790155513706,0.8903449986485106,0.40429712194020606
Lepus europaeus,52.72659,-0.802046,2022-06-15,-0.6810208769985001,295.8550326797386,-0.37091691322411363,-0.36313890311802355,-0.37091691322411363,0.6945263856785473,-0.6400064509762876,1.0416733005585825,0.36313890311802355
Lepus europaeus,52.780515,-0.800566,2022-09-09,-0.4967051777406065,294.1108871391076,-0.5111548739465689,0.08941250367102431,-0.5111548739465689,0.35866344006942125,-0.4330268967793849,0.5379166289102104,-0.08941250367102431
Lepus europaeus,52.725002,-0.654015,2023-08-03,-0.48117113723010174,294.7911679790026,-0.3994361197803876,-0.036750482510962364,-0.3994361197803876,0.4279334590444495,-0.4179401924540382,0.6418105226866819,0.036750482510962364
Lepus europaeus,52.599181,-0.657875,2023-10-10,-0.1282361733782172,288.5286955380578,-0.04736339481797257,-0.1292271613546001,-0.04736339481797257,0.190621131063694,-0.1751805429460954,0.2858996747553122,0.1292271613546001
Lepus europaeus,52.779901,-0.741279,2022-04-13,-0.28294062493393546,286.82438648293964,-0.15215688682994932,-0.19168033403134702,-0.15215688682994932,0.35498273318367907,-0.32352866291226234,0.5324195891899249,0.19168033403134702
Lepus europaeus,52.710769,-1.039317,2022-07-13,-0.7123077127838111,304.67251124859393,-0.5748572908324082,-0.1962814734327509,-0.5748572908324082,0.6686979837552447,-0.6813355675709761,1.00291739383616,0.1962814734327509
Lepus europaeus,52.652066,-0.567558,2022-08-16,-0.4397863369225359,304.6474702200686,-0.4880445035293941,0.08950480947140926,-0.4880445035293941,0.2698556243686107,-0.4094007428557118,0.40473449301252984,-0.08950480947140926
Lepus europaeus,52.782912,-1.067383,2023-07-17,0.3641452222902825,296.8393044619422,0.7518356625125001,-0.7050965753592738,0.7518356625125001,-0.054116229896001566,0.09994235994904578,-0.08117282241035166,0.7050965753592738
Lepus europaeus,52.871533,-0.916914,2023-04-22,-0.6039532267109412,287.7536314210724,-0.37314197571448643,-0.30749448049812417,-0.37314197571448643,0.6660441442477597,-0.5996779901173817,0.9989575521792506,0.30749448049812417
Lepus europaeus,52.729211,-1.098146,2022-05-22,-0.4389091043964241,295.7236702428007,-0.2853237095207818,-0.21203399287739255,-0.2853237095207818,0.4773664025922266,-0.4631162542186028,0.7159627101555678,0.21203399287739255
Lepus europaeus,52.743634,-0.712697,2022-10-18,-0.46978038937748995,287.08798418972333,-0.5292663989074371,0.1730856113435406,-0.5292663989074371,0.24940196815928062,-0.38589291756964156,0.3740299229340957,-0.1730856113435406
Lepus europaeus,52.761608,-0.712167,2022-11-10,-0.5439851653361979,284.54094488188974,-0.43228363137696346,-0.09987845902017704,-0.43228363137696346,0.5057368623520188,-0.5071391070021845,0.7584335977137376,0.09987845902017704
Lepus europaeus,52.586605,-1.278198,2022-07-03,-0.6598071416187057,301.8098073678291,-0.5347383009318604,-0.160080749696363,-0.5347383009318604,0.611856674058358,-0.6376347848489029,0.917672912615725,0.160080749696363
