species,decimalLatitude,decimalLongitude,eventDate,BSI,LST,MNDWI,NDBI,NDSI,NDVI,NDWI,SAVI,UI,hazel_presence,birch_presence,beech_presence,honeysuckle_presence,oak_presence,hawthorn_presence,Land_cover
Muscardinus avellanarius,53.083738,-3.419775,2022-05-18,-0.6229484065533961,288.5193669467787,-0.3534822918137026,-0.3568559399140195,-0.3534822918137026,0.708957691475426,-0.629153069959895,1.0633038783683515,0.3568559399140195,0,0,0,0,0,0,Coniferous woodland
Muscardinus avellanarius,53.083738,-3.419775,2022-06-17,0.0429486745829147,288.43483520074693,0.0910043878739539,-0.1055593404519738,0.0910043878739539,0.0393603228922542,-0.014656673099557,0.0590384916270643,0.1055593404519738,0,0,0,0,0,0,Coniferous woodland
Muscardinus avellanarius,53.083738,-3.419775,2022-05-18,-0.6229484065533961,288.5193669467787,-0.3534822918137026,-0.3568559399140195,-0.3534822918137026,0.708957691475426,-0.629153069959895,1.0633038783683515,0.3568559399140195,0,0,0,0,0,0,Coniferous woodland
Muscardinus avellanarius,53.083738,-3.419775,2022-05-18,-0.6229484065533961,288.5193669467787,-0.3534822918137026,-0.3568559399140195,-0.3534822918137026,0.708957691475426,-0.629153069959895,1.0633038783683515,0.3568559399140195,0,0,0,0,0,0,Coniferous woodland
Muscardinus avellanarius,53.083738,-3.419775,2022-05-18,-0.6229484065533961,288.5193669467787,-0.3534822918137026,-0.3568559399140195,-0.3534822918137026,0.708957691475426,-0.629153069959895,1.0633038783683515,0.3568559399140195,0,0,0,0,0,0,Coniferous woodland
Muscardinus avellanarius,53.083738,-3.419775,2022-05-18,-0.6229484065533961,288.5193669467787,-0.3534822918137026,-0.3568559399140195,-0.3534822918137026,0.708957691475426,-0.629153069959895,1.0633038783683515,0.3568559399140195,0,0,0,0,0,0,Coniferous woodland
Muscardinus avellanarius,53.083738,-3.419775,2022-05-18,-0.6229484065533961,288.5193669467787,-0.3534822918137026,-0.3568559399140195,-0.3534822918137026,0.708957691475426,-0.629153069959895,1.0633038783683515,0.3568559399140195,0,0,0,0,0,0,Coniferous woodland
Muscardinus avellanarius,53.083738,-3.419775,2022-06-17,0.0429486745829147,288.43483520074693,0.0910043878739539,-0.1055593404519738,0.0910043878739539,0.0393603228922542,-0.014656673099557,0.0590384916270643,0.1055593404519738,0,0,0,0,0,0,Coniferous woodland
Muscardinus avellanarius,53.083738,-3.419775,2022-06-17,0.0429486745829147,288.43483520074693,0.0910043878739539,-0.1055593404519738,0.0910043878739539,0.0393603228922542,-0.014656673099557,0.0590384916270643,0.1055593404519738,0,0,0,0,0,0,Coniferous woodland
Muscardinus avellanarius,53.083738,-3.419775,2022-06-17,0.0429486745829147,288.43483520074693,0.0910043878739539,-0.1055593404519738,0.0910043878739539,0.0393603228922542,-0.014656673099557,0.0590384916270643,0.1055593404519738,0,0,0,0,0,0,Coniferous woodland
Muscardinus avellanarius,53.083738,-3.419775,2022-05-18,-0.6229484065533961,288.5193669467787,-0.3534822918137026,-0.3568559399140195,-0.3534822918137026,0.708957691475426,-0.629153069959895,1.0633038783683515,0.3568559399140195,0,0,0,0,0,0,Coniferous woodland
Muscardinus avellanarius,53.083738,-3.419775,2022-05-18,-0.6229484065533961,288.5193669467787,-0.3534822918137026,-0.3568559399140195,-0.3534822918137026,0.708957691475426,-0.629153069959895,1.0633038783683515,0.3568559399140195,0,0,0,0,0,0,Coniferous woodland
Muscardinus avellanarius,53.083738,-3.419775,2022-05-18,-0.6229484065533961,288.5193669467787,-0.3534822918137026,-0.3568559399140195,-0.3534822918137026,0.708957691475426,-0.629153069959895,1.0633038783683515,0.3568559399140195,0,0,0,0,0,0,Coniferous woodland
Muscardinus avellanarius,53.083738,-3.419775,2022-05-18,-0.6229484065533961,288.5193669467787,-0.3534822918137026,-0.3568559399140195,-0.3534822918137026,0.708957691475426,-0.629153069959895,1.0633038783683515,0.3568559399140195,0,0,0,0,0,0,Coniferous woodland
Muscardinus avellanarius,53.083738,-3.419775,2022-06-17,0.0429486745829147,288.43483520074693,0.0910043878739539,-0.1055593404519738,0.0910043878739539,0.0393603228922542,-0.014656673099557,0.0590384916270643,0.1055593404519738,0,0,0,0,0,0,Coniferous woodland
Muscardinus avellanarius,50.608227,-3.720139,2023-06-26,-0.8490360930123934,297.2749294520003,-0.5703920332151833,-0.3883635233297388,-0.5703920332151833,0.8759145859873156,-0.7837731745896419,1.313731676081002,0.3883635233297388,0,0,0,0,0,0,Deciduous woodland
