species,decimalLatitude,decimalLongitude,eventDate,BSI,LST,MNDWI,NDBI,NDSI,NDVI,NDWI,SAVI,UI,ceratopogonidae_presence,chironomidae_presence,cats_presence,wind_turbines_presence,near_road,Land_cover
Pipistrellus pygmaeus,51.037764,-1.851621,2022-10-10,-0.6823175467358698,289.55,-0.4992599246274852,-0.20503561224499,-0.4992599246274852,0.6625121896973922,-0.6300313478047855,0.9936376534476744,0.20503561224499,0,0,0,0,1,Improved grassland
Pipistrellus pygmaeus,55.96,-3.16,2023-06-22,-0.4827051718791981,297.82181818181823,-0.4053378839137808,-0.0433732354743754,-0.4053378839137808,0.4211927378287897,-0.4247995759511814,0.6316677810211846,0.0433732354743754,0,0,0,0,1,Deciduous woodland
Pipistrellus pygmaeus,51.60657,-1.73889,2024-05-17,-0.52581441868572,293.786937007874,-0.2683286384258818,-0.3235130041697558,-0.2683286384258818,0.6106425839986113,-0.5319364018556586,0.9158332552565184,0.3235130041697558,0,0,0,0,1,Improved grassland
Pipistrellus pygmaeus,53.063691,-0.800178,2022-08-21,-0.4161970993625009,304.83893939393937,-0.4169439843524138,0.0375374809526344,-0.4169439843524138,0.3291362454441847,-0.3809736350229318,0.4936173317012691,-0.0375374809526344,0,0,0,0,1,Improved grassland
Pipistrellus pygmaeus,52.2121,0.10797,2023-08-15,-0.5241335643812401,298.8086220472441,-0.3752295550156129,-0.1782448302036153,-0.3752295550156129,0.5621726987684621,-0.5103261943965369,0.8431096909574373,0.1782448302036153,0,0,0,0,1,Suburban
Pipistrellus pygmaeus,51.005884,0.081092,2023-05-17,-0.7763388654134386,291.36896206156047,-0.4673410274249248,-0.399257330379711,-0.4673410274249248,0.8220230745640917,-0.7261851550556977,1.2328915924103532,0.399257330379711,0,0,0,0,1,Improved grassland
Pipistrellus pygmaeus,51.279034,0.142095,2024-07-28,-0.5715347667355694,296.42282214723156,-0.4403215019640263,-0.134268387653722,-0.4403215019640263,0.5610095588071883,-0.523361803444088,0.8413820511217759,0.134268387653722,0,0,0,0,1,Arable
Pipistrellus pygmaeus,55.861699,-2.856323,2023-12-09,0.163820609901266,273.2875,0.3586320574558264,-0.379726857918806,0.3586320574558264,0.0105313515743761,-0.0242667481259488,0.0157967217886858,0.379726857918806,0,0,0,0,1,Arable
Pipistrellus pygmaeus,52.1065,-2.68041,2023-09-08,-0.5975670519909924,298.7088235294118,-0.4399089204345441,-0.181181868599399,-0.4399089204345441,0.6143089243917972,-0.5657729926007518,0.921335904765852,0.181181868599399,0,0,0,0,1,Suburban
Pipistrellus pygmaeus,51.279034,0.142095,2024-10-31,-0.6544386444880775,284.98865016872895,-0.4490767433856889,-0.2161942433515493,-0.4490767433856889,0.6611592919995646,-0.592116589148853,0.9915007547986888,0.2161942433515493,0,0,0,0,1,Arable
Pipistrellus pygmaeus,53.02391,-2.22469,2024-09-29,-0.5753423312715236,288.36919887955185,-0.4620453749504265,-0.1058225279904131,-0.4620453749504265,0.5647309143835847,-0.5286970868315654,0.8469498571889639,0.1058225279904131,0,0,1,0,1,Improved grassland
Pipistrellus pygmaeus,55.957563,-3.21081,2023-09-24,-0.1802049440956434,289.50683267716533,0.0384965997253835,-0.2857834603826796,0.0384965997253835,0.3166205349666184,-0.2461504228880107,0.4746494193284744,0.2857834603826796,0,0,0,0,1,Urban
Pipistrellus pygmaeus,51.094964,-0.224179,2024-06-06,-0.6619505212186297,292.1885663155742,-0.3643228439233633,-0.3915974825226505,-0.3643228439233633,0.7658870878622523,-0.6575962903644741,1.1485837144121829,0.3915974825226505,0,0,0,0,1,Freshwater
Pipistrellus pygmaeus,51.701236,-1.106062,2022-09-08,-0.4099777969043096,293.9747769028871,-0.3931075272702124,-0.0011643873138927,-0.3931075272702124,0.3660278420326334,-0.3917931310333881,0.5489306161228122,0.0011643873138927,0,0,0,0,1,Improved grassland
Pipistrellus pygmaeus,55.96,-3.18,2023-06-14,-0.4821813522834448,300.2683333333333,-0.3831418565536688,-0.0815942998976183,-0.3831418565536688,0.4352013651722075,-0.4250380120441558,0.6526817018184559,0.0815942998976183,0,0,0,0,1,Suburban
Pipistrellus pygmaeus,51.037764,-1.851621,2023-06-23,-0.7606574279418119,299.112,-0.4978753243917841,-0.3774507476080206,-0.4978753243917841,0.7778873618272175,-0.7269101143479414,1.1667091292994465,0.3774507476080206,0,0,0,0,1,Improved grassland
Pipistrellus pygmaeus,51.037764,-1.851621,2022-07-15,-0.7758482960701202,303.695,-0.5417375687636299,-0.2979327869854842,-0.5417375687636299,0.7608934820590574,-0.7185690458489198,1.1411996960383808,0.2979327869854842,0,0,0,0,1,Improved grassland
Pipistrellus pygmaeus,52.93091,-1.148931,2023-08-31,-0.6146819772437043,300.3086297025372,-0.4583541761778537,-0.1726892046638092,-0.4583541761778537,0.5989978641462648,-0.5732841229426808,0.8983708061930686,0.1726892046638092,0,0,0,0,1,Improved grassland
Pipistrellus pygmaeus,55.861699,-2.856323,2023-10-04,-0.5893776357345686,283.7666666666667,-0.4983498461718556,-0.0880226561106952,-0.4983498461718556,0.5056950101519777,-0.5441341967218561,0.7584145522120697,0.0880226561106952,0,0,0,0,1,Arable
Pipistrellus pygmaeus,53.534357,-2.343219,2024-07-30,-0.713826880359709,298.4533005249344,-0.5154779162117101,-0.2465218777092034,-0.5154779162117101,0.7149810488271904,-0.6248337789436087,1.0728502753134652,0.2465218777092034,0,0,0,0,1,Improved grassland
Pipistrellus pygmaeus,56.59,-4.0,2023-08-07,-0.127548861042375,287.68654199475066,-0.0151970098775689,-0.1888175517961927,-0.0151970098775689,0.219505133053519,-0.1954895760216342,0.3292325395185885,0.1888175517961927,0,0,0,0,1,Improved grassland
Pipistrellus pygmaeus,53.841461,-2.393525,2022-09-14,-0.1729584946455481,287.3035137795275,-0.0752375880261393,-0.1511381095660954,-0.0752375880261393,0.2518802026396675,-0.2186011314079361,0.3777696789627141,0.1511381095660954,0,0,0,0,1,Arable
Pipistrellus pygmaeus,51.279034,0.142095,2022-04-22,-0.6038038984858839,291.01813617047867,-0.4363642845815677,-0.198209751455377,-0.4363642845815677,0.6118810999289023,-0.5604150843585393,0.9176868754922172,0.198209751455377,0,0,0,0,1,Arable
