species,decimalLatitude,decimalLongitude,eventDate,BSI,LST,MNDWI,NDBI,NDSI,NDVI,NDWI,SAVI,UI
Pipistrellus pygmaeus,52.619031,-0.834527,2022-08-17,-0.4973679549201689,303.75544094488185,-0.5071900377709581,0.006158449195679986,-0.5071900377709581,0.3828577887394094,-0.4961838880130525,0.5742208148323645,-0.006158449195679986
Pipistrellus pygmaeus,52.619031,-0.834527,2022-06-26,-0.6857405184539351,297.86237204724404,-0.505890520532876,-0.23818864701850165,-0.505890520532876,0.6727341475115585,-0.6602729491352245,1.008978450963565,0.23818864701850165
Pipistrellus pygmaeus,52.618737,-0.804992,2022-06-30,-0.753372277133348,298.2805704099822,-0.5591164524482917,-0.2576036368083997,-0.5591164524482917,0.7379060032957607,-0.7110844232082231,1.10673670700831,0.2576036368083997
Pipistrellus pygmaeus,52.619031,-0.834527,2022-06-25,-0.7873265674158527,297.30426321709785,-0.5944900548592991,-0.2941016933522733,-0.5944900548592991,0.7798113412215399,-0.7495577642441751,1.169245059745465,0.2941016933522733
Pipistrellus pygmaeus,52.618737,-0.804992,2022-08-18,-0.577566375661564,304.2196775599128,-0.5502703996053133,-0.026761760469900354,-0.5502703996053133,0.49568677064413313,-0.5673753240466862,0.7434362790306125,0.026761760469900354
Pipistrellus pygmaeus,52.637007,-0.83405,2022-06-16,-0.8107901380690796,296.7281955380577,-0.4967714784838497,-0.39668055490439086,-0.4967714784838497,0.8333515031173091,-0.7406446132278528,1.2499063329171183,0.39668055490439086
Pipistrellus pygmaeus,52.730775,-1.335055,2022-05-19,-0.5135913724215986,293.71286089238845,-0.32584618586966796,-0.23263719331302055,-0.32584618586966796,0.5537417803901249,-0.5127667484833067,0.8304852988995872,0.23263719331302055
Pipistrellus pygmaeus,52.619031,-0.834527,2022-07-04,-0.6857405184539351,299.7201988188976,-0.505890520532876,-0.23818864701850165,-0.505890520532876,0.6727341475115585,-0.6602729491352245,1.008978450963565,0.23818864701850165
Pipistrellus pygmaeus,52.619031,-0.834527,2022-07-09,-0.6857405184539351,301.22749156355457,-0.505890520532876,-0.23818864701850165,-0.505890520532876,0.6727341475115585,-0.6602729491352245,1.008978450963565,0.23818864701850165
Pipistrellus pygmaeus,52.637007,-0.83405,2022-07-04,-0.7636804563133298,300.91415573053365,-0.5845086871266121,-0.22678560360833996,-0.5845086871266121,0.7403567676427578,-0.704084297369137,1.110413769118497,0.22678560360833996
Pipistrellus pygmaeus,52.637007,-0.83405,2022-08-12,-0.6008091629520415,305.3313210848644,-0.5883655993486521,0.01918929471233953,-0.5883655993486521,0.5053692059243411,-0.569453840612163,0.7579525522114426,-0.01918929471233953
Pipistrellus pygmaeus,52.619031,-0.834527,2022-08-19,-0.4973679549201689,303.75544094488185,-0.5071900377709581,0.006158449195679986,-0.5071900377709581,0.3828577887394094,-0.4961838880130525,0.5742208148323645,-0.006158449195679986
Pipistrellus pygmaeus,52.637007,-0.83405,2022-07-13,-0.7636804563133298,302.4689676290464,-0.5845086871266121,-0.22678560360833996,-0.5845086871266121,0.7403567676427578,-0.704084297369137,1.110413769118497,0.22678560360833996
Pipistrellus pygmaeus,52.619031,-0.834527,2022-08-03,-0.4973679549201689,306.28533464566925,-0.5071900377709581,0.006158449195679986,-0.5071900377709581,0.3828577887394094,-0.4961838880130525,0.5742208148323645,-0.006158449195679986
Pipistrellus pygmaeus,52.619031,-0.834527,2022-08-08,-0.4973679549201689,305.15479330708655,-0.5071900377709581,0.006158449195679986,-0.5071900377709581,0.3828577887394094,-0.4961838880130525,0.5742208148323645,-0.006158449195679986
Pipistrellus pygmaeus,52.619031,-0.834527,2022-08-20,-0.4973679549201689,304.3595253718285,-0.5071900377709581,0.006158449195679986,-0.5071900377709581,0.3828577887394094,-0.4961838880130525,0.5742208148323645,-0.006158449195679986
Pipistrellus pygmaeus,52.619031,-0.834527,2022-06-25,-0.7873265674158527,297.30426321709785,-0.5944900548592991,-0.2941016933522733,-0.5944900548592991,0.7798113412215399,-0.7495577642441751,1.169245059745465,0.2941016933522733
Pipistrellus pygmaeus,52.619031,-0.834527,2022-08-17,-0.4973679549201689,303.75544094488185,-0.5071900377709581,0.006158449195679986,-0.5071900377709581,0.3828577887394094,-0.4961838880130525,0.5742208148323645,-0.006158449195679986
Pipistrellus pygmaeus,52.619031,-0.834527,2022-06-21,-0.7486040454731819,296.63240157480317,-0.48594466597368496,-0.3649472693114378,-0.48594466597368496,0.7761331461307448,-0.7184885448120056,1.1640673411203453,0.3649472693114378
Pipistrellus pygmaeus,52.619031,-0.834527,2022-07-07,-0.6857405184539351,300.9734330708662,-0.505890520532876,-0.23818864701850165,-0.505890520532876,0.6727341475115585,-0.6602729491352245,1.008978450963565,0.23818864701850165
Pipistrellus pygmaeus,52.619031,-0.834527,2022-06-26,-0.6857405184539351,297.86237204724404,-0.505890520532876,-0.23818864701850165,-0.505890520532876,0.6727341475115585,-0.6602729491352245,1.008978450963565,0.23818864701850165
Pipistrellus pygmaeus,52.619031,-0.834527,2022-07-04,-0.6857405184539351,299.7201988188976,-0.505890520532876,-0.23818864701850165,-0.505890520532876,0.6727341475115585,-0.6602729491352245,1.008978450963565,0.23818864701850165
Pipistrellus pygmaeus,52.637007,-0.83405,2022-07-10,-0.7636804563133298,301.9955118110236,-0.5845086871266121,-0.22678560360833996,-0.5845086871266121,0.7403567676427578,-0.704084297369137,1.110413769118497,0.22678560360833996
