BSI,LST,MNDWI,NDBI,NDSI,NDVI,NDWI,SAVI,UI,winter_wheat_presence,month,day_of_year,region_id,Land_cover_Acid grassland,Land_cover_Arable,Land_cover_Bog,Land_cover_Calcareous grassland,Land_cover_Coniferous woodland,Land_cover_Deciduous woodland,Land_cover_Fen,Land_cover_Freshwater,Land_cover_Heather,Land_cover_Heather grassland,Land_cover_Improved grassland,Land_cover_Inland rock,Land_cover_Littoral rock,Land_cover_Littoral sediment,Land_cover_Neutral grassland,Land_cover_Saltmarsh,Land_cover_Saltwater,Land_cover_Suburban,Land_cover_Supralittoral rock,Land_cover_Supralittoral sediment,Land_cover_Urban
-0.3226109207108682,-0.23380052500883475,-0.6761621205987252,1.141690967614949,-0.6761621205987252,-0.09237507582041071,-0.12925381818762974,-0.09245444362128975,-1.141690967614949,False,10,282,1515,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.5761601440878852,2.1298854393201236,-0.8652085215754206,0.7110932424686467,-0.8652085215754206,0.3182844857520646,-0.567279511456674,0.3183602404029939,-0.7110932424686467,False,7,201,1486,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
0.39146778637980806,0.6281500897548036,1.0005712195885847,-1.4227379879792634,1.0005712195885847,0.1882083708641209,0.02305920695157043,0.18838534974903898,1.4227379879792634,False,5,130,1487,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
0.43945180138550766,0.10975479784030867,0.8403485825521372,-0.7482203097109845,0.8403485825521372,-0.21336145531206668,0.30421147537776244,-0.21326554978634496,0.7482203097109845,False,5,121,1524,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
0.9981325583735211,0.188584447289578,1.0215323208311387,-0.2615052206539689,1.0215323208311387,-0.6948309881478021,0.8401130693864366,-0.6947154762044779,0.2615052206539689,False,5,127,1505,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.8774043064074468,-0.0449109378224982,-0.43216210482842565,-0.7220136480058389,-0.43216210482842565,0.8995014083012999,-0.7940056370384203,0.8995214432208657,0.7220136480058389,False,3,85,1498,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
-1.0148272626599082,1.0647813867677447,-0.2602223386043925,-1.5629857013798114,-0.2602223386043925,1.2239786586581602,-1.04983803387059,1.2241561181919098,1.5629857013798114,False,6,157,1493,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.4633128193033621,0.5706327675210379,0.06749321585151581,-1.382926719479803,0.06749321585151581,0.8560991595671625,-0.7143203157541285,0.8562425397603588,1.382926719479803,False,5,135,1485,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
-0.513990379480834,-1.4412294007919901,-0.5857781738620594,0.24992706356004227,-0.5857781738620594,0.44722603879938483,-0.5044477082482537,0.44707272788690156,-0.24992706356004227,False,1,1,1434,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
-0.612217810669395,1.066796467884956,0.017720574252959954,-1.1178128356389616,0.017720574252959954,0.689578518930557,-0.6039649924436474,0.6896946622369878,1.1178128356389616,False,6,166,1508,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.205745939263259,0.8257038405883109,-0.6225645189812502,2.2349636111055045,-0.6225645189812502,-0.9790590122059997,0.5262630648254093,-0.9791135351571503,-2.2349636111055045,False,9,252,1500,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.2746835396887101,0.9197388228584903,-0.11248969645247903,1.3002713702324413,-0.11248969645247903,-0.6349110347188012,0.6086451947241336,-0.6349414549620673,-1.3002713702324413,False,8,215,1525,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1.840952759711592,0.05407945041071332,1.4949703405194248,0.6151478106792845,1.4949703405194248,-1.8139284352596867,1.9342532631696934,-1.8139768385052362,-0.6151478106792845,False,10,283,1434,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1.1543990161331243,-0.1815065934438832,1.0165142188134055,0.15245667054839607,1.0165142188134055,-0.9973455357149368,1.1241867419645437,-0.9973237256377973,-0.15245667054839607,False,4,103,1526,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.7510638103618716,2.2856334426526197,-0.9134109326403665,0.11836862755087221,-0.9134109326403665,0.5612576029678308,-0.829645868695917,0.561306933645344,-0.11836862755087221,False,7,194,1527,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.45834269941349326,2.2821720300487174,-0.5170493959645724,2.235647468693362,-0.5170493959645724,-1.4202748601402655,0.6552755276916198,-1.4203095582395928,-2.235647468693362,False,8,228,1425,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4.026063059157945,1.202852011655444,5.143877100852807,-3.651243540028443,5.143877100852807,-3.029834956379551,3.4365834100091526,-3.0299877159464383,3.651243540028443,False,7,198,1497,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.2702038396320887,-0.05305739105938508,0.0075615963502517055,-0.7055650627806216,0.0075615963502517055,0.5480727718880843,-0.38374827516416576,0.5481890602962727,0.7055650627806216,False,4,112,1469,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
