BSI,LST,MNDWI,NDBI,NDSI,NDVI,NDWI,SAVI,UI,hazel_presence,birch_presence,beech_presence,honeysuckle_presence,oak_presence,hawthorn_presence,month,day_of_year,region_id,Land_cover_Acid grassland,Land_cover_Arable,Land_cover_Bog,Land_cover_Calcareous grassland,Land_cover_Coniferous woodland,Land_cover_Deciduous woodland,Land_cover_Fen,Land_cover_Freshwater,Land_cover_Heather,Land_cover_Heather grassland,Land_cover_Improved grassland,Land_cover_Inland rock,Land_cover_Littoral sediment,Land_cover_Neutral grassland,Land_cover_Saltmarsh,Land_cover_Saltwater,Land_cover_Suburban,Land_cover_Supralittoral rock,Land_cover_Urban
-0.161651455063542,-0.38084504346397435,0.14960780885862945,-0.8924294766440004,0.14960780885862945,0.415100343939481,-0.31009216279657587,0.4152021583751254,0.8924294766440004,False,False,False,False,False,False,5,138,16,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2.470574846115798,-0.394485031901459,2.0673033443092366,1.3329591896691868,2.0673033443092366,-2.576227583057121,2.6810055739390917,-2.576692985812478,-1.3329591896691868,False,False,False,False,False,False,6,168,16,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-1.0553540579562242,1.031946918623624,-0.7862286552929344,-1.1714488473253337,-0.7862286552929344,1.160955755848865,-1.062714712537874,1.1612735871408892,1.1714488473253337,False,False,False,False,False,False,6,177,936,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.5650308246325253,0.9965264760752525,-0.738178804036758,0.35950393963395944,-0.738178804036758,0.41412895026766644,-0.6166951463385231,0.4142192988452745,-0.35950393963395944,False,False,False,False,False,False,6,172,77,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2.663946857030088,-1.1391318862966975,2.4326333616754416,0.730806006895148,2.4326333616754416,-2.6052037340818925,2.7631324718999415,-2.605678035111439,-0.730806006895148,False,False,False,False,False,False,10,289,393,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.33408382168588513,-1.4369587015198557,-0.4764567806033871,0.9098498105060059,-0.4764567806033871,0.014170804001258194,-0.18661113857229608,0.013932950635625246,-0.9098498105060059,False,False,False,False,False,False,11,311,440,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
-1.0609984956681144,0.013232288326441488,-0.7181990939317577,-1.2839523135416175,-0.7181990939317577,1.2170427611436883,-1.0512227069433537,1.2173321533636647,1.2839523135416175,False,False,False,False,False,False,6,167,226,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1.1620027931413976,-0.8266479600312483,0.903352549328616,0.7953236932291108,0.903352549328616,-1.1062994133931836,1.1397288874391789,-1.1065770258506624,-0.7953236932291108,False,False,False,False,False,False,9,265,77,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.5107191239212764,-0.2957602981464101,-0.2842260230528127,-0.5772839968485557,-0.2842260230528127,0.7346356305053459,-0.5285601709916581,0.7347809344670987,0.5772839968485557,False,False,False,False,False,False,9,257,794,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2.9018234263236224,-0.44366711557734223,3.027121357254798,-0.43745570735019235,3.027121357254798,-2.7181997325226015,2.7952050771221786,-2.7187055110620473,0.43745570735019235,False,False,False,False,False,False,4,113,937,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.45787919617079814,0.7053297208333853,-0.46744663021182564,-0.3843113335630613,-0.46744663021182564,0.6691941030267567,-0.6176078330621628,0.6693434936624852,0.3843113335630613,False,False,False,False,False,False,9,249,159,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.44634115753720116,1.137946683811403,-0.35020909160987773,-0.23024932529836198,-0.35020909160987773,0.39607871075486223,-0.4129816207382161,0.39620685247176796,0.23024932529836198,False,False,False,False,False,False,6,171,211,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.3727840799139643,1.909677104064452,-0.636815595092263,0.7998806762345557,-0.636815595092263,0.16030600543993295,-0.3206724556073248,0.16033778508709823,-0.7998806762345557,False,False,False,False,False,False,7,196,433,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
0.169185497275661,0.7907573991751409,0.3241386923405157,-0.3063352002792036,0.3241386923405157,-0.03536379147896081,0.08598852381669954,-0.03527051556148524,0.3063352002792036,False,False,False,False,False,False,5,147,211,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.6136911587731603,-2.1946914563330777,-0.612270350439705,-0.0852240751366697,-0.612270350439705,0.5568644982931145,-0.664334278081828,0.5567147486007762,0.0852240751366697,False,False,False,False,False,False,1,9,639,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
0.06583900813747431,-1.0704419267303196,-0.30757188479045433,1.1852941033620423,-0.30757188479045433,-0.3889775817346489,0.16412157107305417,-0.389074250336466,-1.1852941033620423,False,False,False,False,False,False,10,295,205,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.8537963585029937,-0.2810586675706622,-0.6641841410390094,-0.49009309015669134,-0.6641841410390094,0.9071564469349616,-0.7977943160107035,0.907238433481913,0.49009309015669134,False,False,False,False,False,False,10,276,449,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
